name	description	region	lookup_charity_code_id	featured	top_recommended	syw_altkey	temp_icon_filename
Michael J. Fox Foundation for Parkinson's Research	"The Michael J. Fox Foundation for Parkinson's Research is dedicated to finding a cure for Parkinson's disease within the decade through an aggressively funded research agenda and to ensuring the development of improved therapies for those living with Parkinson's today. For The Michael J. Fox Foundation, there is one clear measure of success: delivering patients better treatments and, ultimately, a cure for Parkinson's disease. We've developed a targeted approach to research funding that helps us identify and prioritize the patient-relevant science that will allow us to reach our goal. Since we began in 2000, the Foundation has funded over $149 million in Parkinson's research, either directly or through partnerships."	National (U.S.)	16	0	1	10116	MichaelJFoxFoundationForParkinson's Research.jpg
National Children's Leukemia Foundation	"The National Children's Leukemia Foundation (NCLF) is one of the leading organizations in the fight against leukemia and cancer for children and adults. The mission of the NCLF is to provide the cure for cancer and other life-threatening diseases throughout the world, and to insure that all persons, regardless of race, religion, ethnicity, gender, socioeconomic status or country of residence, have access to life-saving medical care. The NCLF supports medical research and direct patient care programs that ease the financial, social and psychological burdens of families with a diagnosis of cancer or other serious blood disorders. Through our hotline, we offer comprehensive information to any caller, and provide referrals for initial testing, physicians, hospital admissions, and treatment options."	New Jersey	17	0	0	10165	NYCOutwardBoundCenter.jpg
New Yorkers For Children	"There are 17,000 young people in foster care in New York City, and many of them face unique and complex challenges in their efforts to become successful, self-sufficient adults. Much is needed that cannot be provided by government funding, and New Yorkers For Children (NYFC) has become a valuable resource and support system for these youth. Founded in 1996 by former Commissioner of the Administration for Children's Services Nicholas Scoppetta as the non-profit partner to Children's Services, NYFC strives to enrich the lives of young people in foster care as they strive for success. Over the past 12 years, donations from individuals, corporations, and foundations have enabled us to reach these youth through scholarships, mentoring, financial literacy training, networking opportunities, and the support needed to succeed in college."	New York	1	0	0	10166	NationalChildrensLeukemiaFoundation.gif
NYC Outward Bound Center	"Founded in 1987, NYC Outward Bound Center is the first independent urban Outward Bound Center in the United States. Our organization traces its roots to 1941, when Outward Bound was founded by the well-known European educator Kurt Hahn. NYC Outward Bound programs are transformational. In New York City, we focus primarily on bringing our educational approach to City youth where they live, reaching them mainly through their public schools. Our educational method is called Expeditionary Learning (EL). It is used successfully in schools nationwide, and is achievement-oriented. Through EL, students reach higher levels than they ever thought possible. Academic learning connects to students' own experiences, and to real-world issues and concerns."	New York	3	0	0	10167	NewYorkersForChildren.gif
Parazlyzed Veterans of America	"Founded in 1946, Paralyzed Veterans of America (PVA) is the only congressionally chartered veterans service organization dedicated solely to serving the needs of veterans with spinal cord injury or spinal cord dysfunction (SCI/D). PVA has developed a unique expertise on a wide variety of issues involving the special needs of our members - veterans of the armed forces who have experienced SCI/D. PVA uses that expertise to be the leading advocate for: quality health care for our members; research and education addressing SCI/D; benefits available as a result of our members' military service; and civil rights and opportunities which maximize the independence of our members."	National (U.S.)	15	0	1	10115	ParalyzedVeteransOfAmerica.jpg
Pinwheel Project	"The Pinwheel Project is a non-profit, 501(c)(3) children’s charity whose mission is to ensure that no child or family ever feels hopeless or alone during the ordeal of a pediatric hospital stay. The practical help and emotional support, which we provide at no cost, is designed to create an atmosphere that promotes healing."	National (U.S.)	21	0	1	10121	PinwheelProject.gif
Ronald McDonald House of New York	"Founded in 1978, the Ronald McDonald House of New York provides temporary housing for pediatric cancer patients and their families. Here families find a strong, supportive and caring environment which encourages and nurtures the development of child-to-child and parent-to-parent support systems. Ronald McDonald House in New York City is the largest facility of its type in the world. The House can accommodate 83 families, and it is filled to capacity almost every night. The House's location in Manhattan, in close proximity to 12 major cancer treatment centers, draws children and families from across the country and the world, as well as from the metropolitan New York City area."	New York	4	0	0	10170	RonaldMcDonaldHouseOfNewYork.jpg
Room to Grow	"Founded in 1998, the mission of Room to Grow is to enrich the lives of babies born into poverty throughout their critical first three years of development. Room to Grow's program provides parents raising babies in poverty with one-on-one parenting support and essential baby items throughout their children's critical first three years of life. Parents expecting a baby are referred to Room to Grow by selected prenatal programs assisting low-income families. Upon their referral, parents visit Room to Grow's warm and inviting space once every three months from just before the birth of the baby until their child turns three. During their one-on-one appointments with our staff clinicians, typically lasting two hours, parents receive developmental information, customized support, and all of the needed baby items to ensure a healthy and secure start for their child."	New Jersey	21	0	0	10171	RoomToGrow.jpg
Save the Children	"Save the Children, founded in 1932, is the leading independent organization creating real and lasting change for children in need in the United States and around the world. Save the Children's unique self-help approach to relief, recovery and ongoing development has nurtured the seeds of hope for millions of children and their families. Our programs focus on the areas of: economic opportunities; education; emergencies; protection; health; hunger and malnutrition; and U.S. literacy and nutrition. We work in more than 50 countries, including the United States. We serve 48 million children and many others working to save and improve children's lives, including parents, community members, local organizations and government agencies."	National (U.S.)	6	1	1	10106	SaveTheChildren.jpg
Special Olympics	"Special Olympics is an international organization that changes lives by promoting understanding, acceptance and inclusion between people with and without intellectual disabilities. Through year-round sports training and athletic competition and other related programming for more than 2.5 million children and adults with intellectual disabilities in more than 180 countries, Special Olympics has created a model community that celebrates people's diverse gifts. Founded in 1968 by Eunice Kennedy Shriver, Special Olympics provides people with intellectual disabilities continuing opportunities to realize their potential, develop physical fitness, demonstrate courage and experience joy and friendship."	Pennsylvania	15	0	0	10172	SpecialOlympics.jpg
Starlight Children's Foundation NY/NJ/CT	"Starlight Children's Foundation NY*NJ*CT helps seriously ill children and their families cope with their pain, fear and isolation through entertainment, education and family activities. Starlight brings together experts from pediatric health care, technology and entertainment to create programs that educate, entertain and inspire seriously ill children. Whether it's finding friends online, learning more about a disease, or just spending time together as a family, Starlight's programs help children and families cope with the challenges they face daily. We are proud to say that this past year, our programs benefited more than 275,000 children and their family members in the tri-state area."	New York	8	0	0	10173	StarlightChildrensFoundation.jpg
Susan G. Komen for the Cure	"Nancy G. Brinker promised her dying sister, Susan G. Komen, she would do everything in her power to end breast cancer forever. In 1982, that promise became Susan G. Komen for the Cure and launched the global breast cancer movement. Today, Susan G. Komen for the Cure is the world's largest grassroots network of breast cancer survivors and activists fighting to save lives, empower people, ensure quality care for all and energize science to find the cures. Thanks to events like the Komen Race for the Cure, we have invested more than $1.9 billion to fulfill our promise, becoming the largest source of nonprofit funds dedicated to the fight against breast cancer in the world."	National (U.S.)	7	1	1	10107	SusanGKormanForTheCure.jpg
Teaching Matters	"For the past 15 years, Teaching Matters has led the way in the development and implementation of school-level educational innovations made possible by technology in the largest urban school system in America. Partnering with foundations, frontline educators, content experts, and technologists, we pursue a new standard for student success; one that strikes a balance between core academic and 21st century skills and prepares students for their futures. Each day, Teaching Matters works side by side with classroom educators. As such, we are uniquely situated to observe the real constraints that prevent schools from preparing students for success in the digital age. By focusing development to address the specific constraints and challenges of real classrooms, we improve the likelihood that schools will adopt innovations necessary to meet the needs of today's students."	Arizona	21	0	0	10174	TeachingMatters.jpg
The Children's Aid Society	"Founded in 1853, The Children's Aid Society (CAS) works to ensure the physical and emotional well-being of children and families, and to provide each child with the support and opportunities needed to become a happy, healthy and productive adult. CAS fills the gaps between what children deserve and what life has dealt them. We have been serving children for more than 150 years, a longevity that is a testament to our ability to adapt to the always changing needs of today's youth. Today CAS serves more than 150,000 children and their families at more than 45 sites throughout New York City."	Arkansas	15	0	1	10126	TheChildrensAidSociety.jpg
The Children's Health Fund	"Founded in 1987, the Children's Health Fund (CHF) is committed to providing comprehensive health care to the nation's most medically underserved children and their families through the development and support of innovative primary care medical programs and the promotion of guaranteed access to appropriate health care for all children. CHF is dedicated to meeting the complex and challenging health needs of underserved children. Children's Health Fund realizes this mission through the energy and talent of our dedicated team of doctors, nurses, psychologists, social workers, nutritionists, and other clinical and support staff and our partnerships with esteemed academic medical centers."	National (U.S.)	19	0	1	10119	TheChildrensHealthFund.png
The Fresh Air Fund	"Since 1877, The Fresh Air Fund has provided free summer vacations in the country to more than 1.7 million New York City children from disadvantaged communities. Each year, thousands of children visit volunteer host families in 13 states and Canada through the Friendly Town Program or attend Fresh Air Fund camps. In addition to the Friendly Town Program, each summer, 3,000 children enjoy themselves at one of the five Fresh Air camps in upstate New York. We also offer a career awareness program which focuses on expanding the education and career options of New York City adolescents."	Idaho	4	0	0	10151	TheFreshAirFund.jpg
The Parent-Child Home Program	The Parent-Child Home Program's National Center strives to ensure that families in communities across the country have access to The Parent-Child Home Program. The National Center assists communities in developing Parent-Child Home Program replications and expanding existing sites. The Center works to increase public awareness about the importance of early parent-child verbal interaction and works with public officials to increase the availability of public funds that can be utilized to support Parent-Child Home Program replications around the country.	Nebraska	15	0	0	10168	TheParent-ChildHomeProgram.jpg
The Perlman Music Program	"Founded in 1993, the Perlman Music Program (PMP) welcomes young musicians of rare and special talent into a richly supportive musical community. Through intensive summer programs, year-round mentoring, and on occasion, an international study or performance tour, the program offers unparalleled musical training for students, ages 12 to 30, who play the violin, viola, cello, bass and piano. With a faculty led by Itzhak Perlman and comprising some of the most gifted musical talents of our time, the Program offers an artistic and personal experience that changes students' lives forever. PMP seeks to ensure that the very best musicians can take advantage of this opportunity, regardless of their economic background or financial means."	New Jersey	22	0	0	10169	ThePerlmanMusicProgram.jpg
United Sates Fund for UNICEF	"The United States Fund for UNICEF was founded in 1947 to support the work of the United Nations Children's Fund (UNICEF) by raising funds for its programs and increasing awareness of the challenges facing the world's children. The oldest of 37 national committees for UNICEF worldwide, we are part of a global effort to save, protect and improve children's lives. Every moment of every day, UNICEF is on the ground providing lifesaving help for children in need. We provide families with clean water and sanitation, we vaccinate against childhood illness, and we help protect children against malaria. We provide nourishment to fight malnutrition, and we care for children affected by AIDS. We protect children from abuse, and we give them an education. We are here to make sure that all children lead a healthy, humane, and dignified life."	National (U.S.)	13	0	1	10113	UnitedStatesFundForUNICEF.jpg
Voices Against Brain Cancer	"Our mission is to find a cure for brain cancer by advancing scientific research, increasing awareness within the medical community and supporting patients, their families and caregivers afflicted with this devastating disease."	National (U.S.)	11	0	1	10111	VoicesAgainstBrainCancer.jpg
World Childhood Foundation	"The mission of World Childhood Foundation is to defend the rights of the child and to promote better living conditions for vulnerable and exploited children at risk all over the world. World Childhood Foundation wants to give all children the opportunity to develop into strong, secure and responsible human beings. Childhood was founded in 1999 by H.M. Queen Silvia of Sweden, who felt a compelling need to address the social, emotional and material poverty of children around the world. Over the last five years the organizations has grown to support more than 100 programs in 14 countries. The Foundation´s offices are found in Stockholm/Sweden, Sao Paulo/Brazil, New York/USA and München/Berlin Germany. The Childhood USA foundation follows the charter of the global foundation in Sweden in that it has as its primary focus to raise awareness of children at risk for abuse and exploitation, and to create an environment away from harm and neglect."	Arizona	22	0	0	10175	World Childhood Foundation.jpg
World Vision	"World Vision is a Christian humanitarian organization dedicated to working with children, families and their communities worldwide to reach their full potential by tackling the causes of poverty and injustice. Motivated by our faith in Jesus Christ, World Vision serves alongside the poor and oppressed as a demonstration of God's unconditional love for all people. World Vision serves all people, regardless of religion, race, ethnicity, or gender."	National (U.S.)	2	1	1	10102	WorldVision.jpg
Wounded Warrior Project	"The mission of Wounded Warrior Project is to honor and empower wounded warriors. Our purpose is: to raise awareness and enlist the public's aid for the needs of severely injured service men and women; to help severely injured service members aid and assist each other; and to provide unique, direct programs and services to meet the needs of severely injured service members."	National (U.S.)	14	0	1	10114	WoundedWarriorProject.jpg
Young Audiences	"Founded in 1952, Young Audiences (YA) works to help make the arts an essential part of young people's education. YA advances the artistic and educational development of youngsters by bringing them together with professional artists of all disciplines to learn, create and participate in the arts. This year, YA's network of 30 affiliates and 4,600 artists reached seven million children in nearly 7,000 schools with 16,300 performance demonstrations, 60,000 workshops and 3,240 teacher services. YA and its affiliates are engaged in several network projects, including Arts for Learning Lessons, MetLife Dance for Life, and Arts for Learning Interactive Media."	Arizona	23	0	0	10176	YoungAudiences.jpg
